Sample No,Printer Type,Material,Layer Thickness (mm),Infill Density (%),Infill Pattern,Speed ​​(mm/s),Roughness AVG,Hardness AVG,Peak Load (N),Peak Stress (kPa),Strain at Break (mm/mm),Modulus (MPa),Width (mm),Thickness (mm)
429,closed ,PLA+,0.3,20,tri hexagon,50,7.718,80.9,921.582,45137.43333333333,0.01433333333333333,3827.794666666667,6.149999999999999,3.32
430,closed ,PLA+,0.3,20,cubic subdivision,50,8.378666666666666,80.5,915.8903333333333,45699.4,0.01433333333333333,3910.054333333333,6.073333333333333,3.299999999999999
431,closed ,PLA+,0.3,20,concentric,50,7.332333333333334,81.0,920.4606666666667,44402.33333333334,0.014,3832.139666666666,6.140000000000001,3.376666666666666
432,closed ,PLA+,0.3,20,cross3d,50,7.361,79.7,866.2526666666666,42537.0,0.013,3890.974333333334,6.153333333333333,3.31
433,closed ,PLA+,0.3,20,lightning,50,8.244000000000002,79.4,798.5970000000001,37614.46666666667,0.012,3579.23,6.186666666666667,3.433333333333334
434,closed ,PLA+,0.3,20,tri hexagon,70,8.916666666666666,79.2,901.119,42014.1,0.014,3676.098333333333,6.23,3.443333333333333
435,closed ,PLA+,0.3,20,octet,70,8.142999999999999,80.1,871.6666666666666,40521.73333333333,0.01333333333333333,3644.322666666667,6.326666666666667,3.4
436,closed ,PLA+,0.3,20,concentric,70,8.789,79.5,919.4856666666666,43356.8,0.014,3767.429,6.06,3.5
437,closed ,PLA+,0.3,20,cross3d,70,8.280333333333333,80.4,887.5623333333333,40306.33333333334,0.01366666666666667,3622.868333333333,6.396666666666666,3.443333333333333
438,closed ,PLA+,0.3,20,lightning,70,8.551666666666668,78.3,856.1346666666667,39348.8,0.01333333333333333,3540.985333333334,6.363333333333333,3.42
439,closed ,PLA+,0.3,50,cubic,30,5.479,81.2,915.8456666666666,43194.33333333334,0.01266666666666667,4009.020666666667,6.086666666666666,3.486666666666667
440,closed ,PLA+,0.3,50,octet,30,7.224333333333333,80.4,938.0276666666667,44394.4,0.013,4001.442,6.196666666666666,3.41
441,closed ,PLA+,0.3,50,concentric,30,5.723333333333334,80.7,938.7153333333334,44958.73333333334,0.01266666666666667,4129.39,6.13,3.406666666666667
442,closed ,PLA+,0.3,50,gyroid,30,6.973333333333334,81.0,854.0523333333334,40453.96666666667,0.01233333333333333,3861.890333333333,6.173333333333333,3.42
443,closed ,PLA+,0.3,50,lines,50,8.709333333333333,80.7,930.8686666666667,44950.56666666667,0.013,4006.360666666667,6.14,3.373333333333333
444,closed ,PLA+,0.3,50,cubic,50,8.882,79.6,1013.161,48289.76666666666,0.01466666666666667,4100.453666666667,6.22,3.373333333333333
445,closed ,PLA+,0.3,50,octet,50,9.231333333333334,80.5,958.6816666666667,44677.36666666667,0.01333333333333333,3940.700666666666,6.21,3.453333333333333
446,closed ,PLA+,0.3,50,cross,50,7.289333333333334,81.2,820.9636666666667,40054.93333333333,0.01166666666666667,3850.865,6.05,3.386666666666667
447,closed ,PLA+,0.3,50,gyroid,50,7.598999999999999,79.6,922.1149999999999,44699.7,0.013,4014.088,6.176666666666667,3.34
448,closed ,PLA+,0.3,50,lines,70,8.378,79.9,978.6166666666667,47559.03333333333,0.01466666666666667,3988.913666666667,6.016666666666667,3.42
449,closed ,PLA+,0.3,50,cubic,70,9.883000000000001,78.8,1007.839333333333,48025.36666666667,0.01466666666666667,4086.703,6.196666666666666,3.386666666666667
450,closed ,PLA+,0.3,50,quarter cubic,70,8.455,80.3,969.9250000000001,45258.8,0.015,3845.917666666667,6.193333333333334,3.463333333333333
451,closed ,PLA+,0.3,50,cross,70,9.223666666666666,80.0,848.2443333333334,40867.73333333333,0.013,3749.405333333334,6.016666666666667,3.45
452,closed ,PLA+,0.3,50,gyroid,70,8.197000000000001,79.7,938.2913333333332,44314.73333333334,0.01433333333333333,3877.197,6.173333333333333,3.43
453,closed ,PLA+,0.3,80,lines,30,6.044999999999999,80.4,920.8906666666667,44613.3,0.01233333333333333,4348.224333333334,6.12,3.373333333333333
454,closed ,PLA+,0.3,80,cubic subdivision,30,6.613666666666667,79.4,984.5443333333333,47838.66666666666,0.014,4231.209333333333,6.053333333333334,3.4
455,closed ,PLA+,0.3,80,quarter cubic,30,7.660666666666667,79.4,1040.092666666667,48804.0,0.014,4306.692333333333,6.196666666666666,3.44
456,closed ,PLA+,0.3,80,cross,30,7.133666666666667,79.9,829.1243333333333,39583.63333333333,0.012,3931.679333333333,6.143333333333334,3.41
457,closed ,PLA+,0.3,80,gyroid,30,5.8806666666666665,79.4,887.1586666666667,41103.5,0.01233333333333333,4089.722333333334,6.173333333333333,3.496666666666667
458,closed ,PLA+,0.3,80,tri hexagon,50,8.396,78.4,994.6336666666666,46081.53333333333,0.01366666666666667,4206.093666666667,6.149999999999999,3.51
459,closed ,PLA+,0.3,80,cubic subdivision,50,8.416333333333334,79.6,970.268,45320.16666666666,0.014,4047.689666666667,6.296666666666667,3.4
460,closed ,PLA+,0.3,80,quarter cubic,50,8.788666666666666,78.1,1135.014333333333,52639.06666666667,0.015,4322.517,6.226666666666667,3.463333333333333
461,closed ,PLA+,0.3,80,cross,50,7.113333333333333,79.9,882.179,41238.53333333333,0.01233333333333333,3881.936,6.273333333333333,3.41
462,closed ,PLA+,0.3,80,lightning,50,7.147000000000001,81.0,849.3209999999999,40566.76666666666,0.013,3728.975333333333,6.086666666666666,3.44
463,closed ,PLA+,0.3,80,tri hexagon,70,8.579666666666666,79.1,1082.332666666666,48955.0,0.015,4146.739666666667,6.263333333333333,3.53
464,closed ,PLA+,0.3,80,cubic subdivision,70,7.155666666666666,78.1,1046.2,49680.83333333334,0.015,4125.487666666667,6.039999999999999,3.486666666666667
465,closed ,PLA+,0.3,80,quarter cubic,70,7.984999999999999,78.0,1117.568,51393.06666666667,0.016,4216.896,6.243333333333333,3.483333333333333
466,closed ,PLA+,0.3,80,cross3d,70,8.518333333333333,78.9,939.607,45207.56666666667,0.014,3944.248,6.12,3.396666666666667
467,closed ,PLA+,0.3,80,lightning,70,8.001666666666667,78.1,867.2266666666666,40271.1,0.01333333333333333,3616.986,6.096666666666667,3.53
